tick,agent_id,personality,position,inventory,action_type,action_detail,result,message,resources_remaining
1,A3,deceptive,"(6, 1)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,30
1,A4,aggressive,"(5, 7)",0,move,"{'type': 'move', 'direction': 'E'}",moved_E,,30
1,A1,aggressive,"(5, 6)",0,raid,"{'type': 'raid', 'target_id': 'A4'}",raid_empty,,30
1,A2,deceptive,"(6, 5)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,30
2,A1,aggressive,"(5, 6)",0,raid,"{'type': 'raid', 'target_id': 'A4'}",raid_empty,,30
2,A3,deceptive,"(6, 1)",1,collect,{'type': 'collect'},collected,,29
2,A4,aggressive,"(5, 7)",1,collect,{'type': 'collect'},collected,,28
2,A2,deceptive,"(6, 6)",0,move,"{'type': 'move', 'direction': 'S'}",moved_S,,28
3,A3,deceptive,"(7, 1)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,28
3,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,28
3,A2,deceptive,"(6, 6)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,28
3,A4,aggressive,"(5, 7)",0,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,28
4,A2,deceptive,"(6, 6)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,28
4,A4,aggressive,"(5, 7)",0,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,28
4,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,28
4,A3,deceptive,"(6, 1)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
5,A2,deceptive,"(6, 6)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,28
5,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,28
5,A3,deceptive,"(7, 1)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,28
5,A4,aggressive,"(5, 7)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,28
6,A3,deceptive,"(8, 1)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,28
6,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,28
6,A2,deceptive,"(6, 6)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,28
6,A4,aggressive,"(5, 7)",0,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,28
7,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,28
7,A3,deceptive,"(7, 1)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
7,A4,aggressive,"(5, 7)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,28
7,A2,deceptive,"(6, 6)",0,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,28
8,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,28
8,A3,deceptive,"(6, 1)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
8,A2,deceptive,"(6, 6)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,28
8,A4,aggressive,"(5, 7)",0,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,28
9,A4,aggressive,"(5, 7)",0,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,28
