tick,agent_id,personality,position,inventory,action_type,action_detail,result,message,resources_remaining
1,A2,aggressive,"(0, 7)",1,collect,{'type': 'collect'},collected,,29
1,A4,neutral,"(8, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,29
1,A1,cooperative,"(6, 7)",1,collect,{'type': 'collect'},collected,,28
1,A3,deceptive,"(3, 6)",1,collect,{'type': 'collect'},collected,,27
2,A4,neutral,"(8, 9)",1,collect,{'type': 'collect'},collected,,26
2,A1,cooperative,"(7, 7)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,26
2,A3,deceptive,"(3, 7)",1,move,"{'type': 'move', 'direction': 'S'}",moved_S,,26
2,A2,aggressive,"(0, 8)",1,move,"{'type': 'move', 'direction': 'S'}",moved_S,,26
3,A2,aggressive,"(1, 8)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,26
3,A4,neutral,"(7, 9)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,26
3,A3,deceptive,"(2, 7)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,26
3,A1,cooperative,"(7, 7)",1,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,26
4,A3,deceptive,"(1, 7)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,26
4,A1,cooperative,"(7, 7)",1,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,26
4,A2,aggressive,"(1, 8)",2,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
4,A4,neutral,"(8, 9)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,26
5,A3,deceptive,"(1, 7)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,26
5,A4,neutral,"(7, 9)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,26
5,A2,aggressive,"(1, 8)",2,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
5,A1,cooperative,"(7, 7)",1,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A4 and establish a cooperative approach to resource gathering, which aligns with my belief that working together pro""}",broadcast,"I'll broadcast to coordinate with A4 and establish a cooperative approach to resource gathering, which aligns with my belief that working together pro",26
6,A3,deceptive,"(1, 7)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,26
6,A1,cooperative,"(7, 7)",1,broadcast,"{'type': 'broadcast', 'message': ""I'll broadcast to coordinate with A4 and establish a cooperative approach. Since A4 is nearby with only 1 resource, we can discuss how to efficiently ""}",broadcast,"I'll broadcast to coordinate with A4 and establish a cooperative approach. Since A4 is nearby with only 1 resource, we can discuss how to efficiently ",26
6,A4,neutral,"(6, 9)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,26
6,A2,aggressive,"(1, 8)",2,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,26
7,A3,deceptive,"(1, 7)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,26
7,A4,neutral,"(6, 9)",2,collect,{'type': 'collect'},collected,,25
7,A1,cooperative,"(7, 7)",1,broadcast,"{'type': 'broadcast', 'message': ''}",broadcast,,25
7,A2,aggressive,"(1, 8)",2,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,25
8,A3,deceptive,"(1, 7)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,25
8,A2,aggressive,"(1, 8)",2,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,25
8,A4,neutral,"(5, 9)",2,move,"{'type': 'move', 'direction': 'W'}",moved_W,,25
8,A1,cooperative,"(7, 7)",2,collect,{'type': 'collect'},collected,,24
9,A4,neutral,"(4, 9)",2,move,"{'type': 'move', 'direction': 'W'}",moved_W,,24
9,A2,aggressive,"(1, 8)",2,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,24
9,A1,cooperative,"(8, 7)",2,move,"{'type': 'move', 'direction': 'E'}",moved_E,,24
9,A3,deceptive,"(1, 7)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,24
10,A2,aggressive,"(1, 8)",2,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,24
10,A4,neutral,"(4, 9)",3,collect,{'type': 'collect'},collected,,23
10,A3,deceptive,"(1, 7)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,23
10,A1,cooperative,"(8, 7)",3,collect,{'type': 'collect'},collected,,22
11,A3,deceptive,"(1, 7)",2,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,22
11,A1,cooperative,"(9, 7)",3,move,"{'type': 'move', 'direction': 'E'}",moved_E,,22
11,A4,neutral,"(3, 9)",3,move,"{'type': 'move', 'direction': 'W'}",moved_W,,22
11,A2,aggressive,"(1, 8)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,22
12,A4,neutral,"(2, 9)",3,move,"{'type': 'move', 'direction': 'W'}",moved_W,,22
12,A2,aggressive,"(1, 8)",2,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,22
12,A1,cooperative,"(9, 7)",4,collect,{'type': 'collect'},collected,,21
12,A3,deceptive,"(1, 7)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,21
13,A2,aggressive,"(1, 8)",2,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,21
13,A3,deceptive,"(1, 7)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,21
13,A4,neutral,"(1, 9)",3,move,"{'type': 'move', 'direction': 'W'}",moved_W,,21
13,A1,cooperative,"(9, 6)",4,move,"{'type': 'move', 'direction': 'N'}",moved_N,,21
14,A3,deceptive,"(1, 7)",2,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,21
14,A4,neutral,"(1, 9)",3,raid,"{'type': 'raid', 'target_id': 'A2'}",raid_empty,,21
14,A1,cooperative,"(8, 6)",4,move,"{'type': 'move', 'direction': 'W'}",moved_W,,21
14,A2,aggressive,"(1, 8)",1,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_1,,21
